destino,port_code,aires_original,fcl_original,silver_original,aires_20,aires_40,fcl_20,fcl_40,silver_20,silver_40,best_price_20,worst_price_20,price_diff_20,price_diff_20_pct,best_provider_20,best_price_40,worst_price_40,price_diff_40,price_diff_40_pct,best_provider_40,sources_available,match_type
San Jose CR (CRSJO) / San jose CR (CRSJO),CRSJO,,San jose CR (CRSJO),San Jose CR (CRSJO),,,4400.0,5000.0,5790.0,6230.0,4400.0,5790.0,1390.0,31.590909090909093,FCL,5000.0,6230.0,1230.0,24.6,FCL,2,fuzzy
Panama city (PAPTY),PAPTY,,Panama city (PAPTY),Panama city (PAPTY),,,4200.0,4700.0,5490.0,5930.0,4200.0,5490.0,1290.0,30.714285714285715,FCL,4700.0,5930.0,1230.0,26.170212765957444,FCL,2,fuzzy
Buenaventura (COBUN) / Buenaventura,COBUN,Buenaventura (COBUN),,Buenaventura,3475.0,4129.0,,,4525.0,5225.0,3475.0,4525.0,1050.0,30.215827338129497,AiresDS,4129.0,5225.0,1096.0,26.543957374666988,AiresDS,2,fuzzy
New Orleans (USMSY),USMSY,New Orleans (USMSY),New Orleans (USMSY),New Orleans (USMSY),3795.0,3820.0,4700.0,5000.0,4940.0,5015.0,3795.0,4940.0,1145.0,30.171277997364953,AiresDS,3820.0,5015.0,1195.0,31.282722513089006,AiresDS,3,exact
Los Angeles (USLAX),USLAX,Los Angeles (USLAX),Los Angeles (USLAX),Los Angeles (USLAX),3970.0,4170.0,4800.0,5000.0,5135.0,5385.0,3970.0,5135.0,1165.0,29.345088161209066,AiresDS,4170.0,5385.0,1215.0,29.136690647482016,AiresDS,3,exact
Guayaquil (ECGYE) / Guayaquil (ECQYE),ECGYE,Guayaquil (ECGYE),Guayaquil (ECQYE),Guayaquil (ECQYE),3616.0,3961.0,3950.0,4450.0,4670.0,5060.0,3616.0,4670.0,1054.0,29.148230088495573,AiresDS,3961.0,5060.0,1099.0,27.745518808381718,AiresDS,3,fuzzy
Rio de Janeiro (BRGIG) / Rio de Janerio (BRRIO ),BRGIG,,Rio de Janerio (BRRIO ),Rio de Janeiro (BRGIG),,,2000.0,2250.0,2580.0,2775.0,2000.0,2580.0,580.0,28.999999999999996,FCL,2250.0,2775.0,525.0,23.333333333333332,FCL,2,fuzzy
Callao (PECLL),PECLL,Callao (PECLL),Callao (PECLL),Callao (PECLL),3616.0,3961.0,3850.0,4450.0,4660.0,5060.0,3616.0,4660.0,1044.0,28.871681415929203,AiresDS,3961.0,5060.0,1099.0,27.745518808381718,AiresDS,3,exact
Houston (USHOU),USHOU,Houston (USHOU),Houston (USHOU),Houston (USHOU),3795.0,3820.0,4700.0,5100.0,4890.0,5030.0,3795.0,4890.0,1095.0,28.85375494071146,AiresDS,3820.0,5100.0,1280.0,33.50785340314136,AiresDS,3,exact
Naples (ITNAP) / Napoles,ITNAP,,Naples (ITNAP),Napoles,,,2300.0,2600.0,2930.0,3920.0,2300.0,2930.0,630.0,27.391304347826086,FCL,2600.0,3920.0,1320.0,50.76923076923077,FCL,2,fuzzy
Shuwaikh / Shuwaikh (KWSWK),KWSWK,Shuwaikh (KWSWK),,Shuwaikh,3954.0,5298.0,,,5000.0,6390.0,3954.0,5000.0,1046.0,26.454223571067274,AiresDS,5298.0,6390.0,1092.0,20.61155152887882,AiresDS,2,fuzzy
Riyadh (SARUH) / Riyadh,SARUH,Riyadh (SARUH),,Riyadh,2662.0,3354.0,,,3360.0,4000.0,2662.0,3360.0,698.0,26.22088655146506,AiresDS,3354.0,4000.0,646.0,19.260584376863445,AiresDS,2,fuzzy
Savannah (USSAV),USSAV,,Savannah (USSAV),Savannah (USSAV),,,5000.0,5400.0,3985.0,4350.0,3985.0,5000.0,1015.0,25.47051442910916,Silver,4350.0,5400.0,1050.0,24.137931034482758,Silver,2,fuzzy
Norfolk (USORF),USORF,Norfolk (USORF),Norfolk (USORF),Norfolk (USORF),4795.0,4820.0,5800.0,6000.0,5960.0,6035.0,4795.0,5960.0,1165.0,24.29614181438999,AiresDS,4820.0,6035.0,1215.0,25.20746887966805,AiresDS,3,exact
